handle,name,website,industry,size,type,founded,city,state,country_code
company/wizcaps,WIZCAPS,wizcaps.com,financial services,11-50,Privately Held,2017.0,Vashi,Maharashtra,IND
company/avama-naturals,Avama Naturals,avamanaturals.com,retail,1-10,Privately Held,2017.0,Delhi,Delhi,IND
company/finmates-business,FinMates Business Solutions Private Limited,finmates.in,financial services,1-10,Privately Held,2019.0,Malad,Maharashtra,IND
company/decoding-credit,Decoding Credit,decodingcredit.in,financial services,1-10,Self-Owned,2019.0,Bangalore,Karnataka,IND
company/falcon-invoice-discounting,Falcon Invoice Discounting,falconsgrup.com,financial services,51-200,Privately Held,2015.0,Gowra Fountainhead,Telangana,IND
company/sensiblewealth,Sënsiblë Wëalth,sensiblewealth.in,financial services,1-10,Privately Held,2022.0,New Delhi,Delhi,IND
company/cbblimited,Coimbatore Bharathi Biotech Private Limited,cbblimited.com,renewables & environment,1-10,Privately Held,2019.0,Mahalingapuram,Tamil Nadu,IND
company/moneymaxfingrowpvtltd,Moneymax Fingrow Pvt.Ltd.,moneymaxfingrow.com,financial services,51-200,Privately Held,2004.0,Mahalingapuram,Tamil Nadu,IND
company/kashmir-box,Kashmir Box,kashmirbox.com,retail,11-50,Privately Held,2011.0,Srinagar,Jammu And Kashmir,IND
company/asdr-infotech-pvt-ltd,ASDR Infotech Pvt. Ltd,asdrinfotech.com,information technology & services,11-50,Privately Held,2022.0,Achal,Maharashtra,IND
company/naaima-embedded-technology,Naaima Embedded Technology,naaima.com,information technology & services,11-50,Privately Held,,Hyderabad,Andhra Pradesh,IND
company/thefounderstory,The Founder Story,thefounderstory.com,information technology & services,201-500,Self-Owned,,Sector,Uttar Pradesh,IND
company/skillslearn-academy,Skillslearn Academy,skillslearn.in,e-learning,1-10,Educational,2017.0,Bangalore,Karnataka,IND
company/tivona-global,TivonaGlobal Technologies,tivonaglobal.com,information technology & services,51-200,Privately Held,2017.0,Alwarpet,Tamil Nadu,IND
company/zingleeats,Zingle Eats,sultantakeaway.com,food & beverages,1-10,Self-Owned,2019.0,Puzhuthivakkam,Tamil Nadu,IND
company/selfieism-technologies-pvt-ltd,Selfieism technologies Pvt. Ltd.,selfieismtechsolutions.com,information technology & services,11-50,Privately Held,2016.0,Rampur,Madhya Pradesh,IND
company/sygnovate,Sygnovate IT Solutions pvt ltd,sygnovate.com,information technology & services,11-50,Privately Held,2009.0,Hyderabad,Andhra Pradesh,IND
company/vitriv-technologies,Vitriv Technologies limited,vitriv.com,information technology & services,1-10,Privately Held,2017.0,Ramakrishnagar,Karnataka,IND
company/intellect-training-consulting-solutions,Intellect Training & Consulting Solutions,intellecttech.in,information technology & services,1-10,Privately Held,2022.0,Bangalore,Karnataka,IND
company/malghan-business-solutions-pvt-ltd,Malghan Business Solutions Pvt Ltd,malghan.com,information technology & services,11-50,Public Company,2013.0,Bangalore,Karnataka,IND
company/prosales-india,ProSales-india,prosales.co.in,e-learning,1-10,Privately Held,2021.0,Bangalore,Karnataka,IND
company/e-team-informatica,E-Team Informatica India Pvt. Ltd,gruppozenit.com,information technology & services,51-200,Privately Held,2001.0,Thiruvananthapuram,Kerala,IND
company/fmcg-ontime-jobs,FMCG Ontime Jobs,ontimesolutions.in,food & beverages,51-200,Privately Held,,Bangalore,Karnataka,IND
company/michis,MICHI'S,jrjfoods.com,food & beverages,51-200,Privately Held,2005.0,,Gujarat,IND
company/ipaymnt-tech,iPaymnt Tech,ipayments.org.in,financial services,11-50,Partnership,2022.0,New Town,West Bengal,IND
company/irp-innovative-solution-opc-pvt-ltd,IRP INNOVATIVE SOLUTION OPC PVT LTD,irpinnovative.com,information technology & services,1-10,Privately Held,2020.0,Bangalore,Karnataka,IND
company/entlogics-technologies-pvt-ltd-,EntLogics Technologies Pvt. Ltd.,entlogics.com,information technology & services,11-50,Privately Held,2012.0,Bangalore,Karnataka,IND
company/infigo-software,Infigo Software,infigosoftware.in,information technology & services,11-50,Partnership,2014.0,R K Puram,Rajasthan,IND
company/miteshlodha,MITESH LODHA,miteshlodha.com,retail,11-50,Self-Owned,,Lower Parel,Maharashtra,IND
company/violica,Violica,violica.com,retail,1-10,Privately Held,2006.0,Srinagar Colony,Telangana,IND
company/heliosys-technologies,Heliosys Technologies,heliosystechnologies.com,information technology & services,11-50,Privately Held,2002.0,Bangalore,Karnataka,IND
company/vaishnavi-biotech-limited,Vaishnavi Biotech International Limited,vaishnavibiotech.com,biotechnology,201-500,Public Company,,Sihor,Gujarat,IND
company/stratrun,Stratrun,stratrun.in,financial services,1-10,Self-Owned,2019.0,Delhi,Delhi,IND
company/dhanrashi-fintec-pvt-ltd,Dhanrashi Fintech Pvt Ltd,dhanrashi.in,financial services,51-200,Privately Held,2020.0,,Haryana,IND
company/finance-bridge,Finance Bridge,financebridge.com,financial services,1-10,Partnership,2022.0,India,Tamil Nadu,IND
company/galaxykart,Galaxykart,galaxykart.in,retail,1-10,Self-Owned,2017.0,R K Puram,Delhi,IND
company/cmfakochi,CMFA - Centre For Management and Financial Assistance,cmfakochi.com,financial services,1-10,Public Company,,Cochin,Kerala,IND
company/english-with-shirley,EnglishWithShirley,englishwithshirley.in,e-learning,1-10,Self-Employed,,New Delhi,Delhi,IND
company/advait-business-solutions-private-limited,ADVAIT BUSINESS SOLUTIONS PRIVATE LIMITED,advaitbusiness.com,information technology & services,11-50,Privately Held,,Prahladnagar,Gujarat,IND
company/lakewater-advisors,Lakewater Advisors,lakewateradvisors.com,financial services,1-10,Privately Held,2019.0,Sector V Salt Lake,West Bengal,IND
company/ciphertronindia,CipherTronIndia,ciphertron.in,information technology & services,11-50,Self-Owned,,Delhi,Delhi,IND
company/early-wages,Early Wages,earlywages.com,financial services,11-50,Self-Owned,2017.0,Delhi,Delhi,IND
company/lumynos-technologies,Lumynos Technologies,lumynostechnologies.com,information technology & services,11-50,Privately Held,,India,Gujarat,IND
company/deaarastudio,Deaara,deaara.com,information technology & services,11-50,Partnership,2009.0,Vastrapur.,Gujarat,IND
company/iamo-bazaar,Iamo Bazaar,iamosolutions.in,information technology & services,51-200,Privately Held,,Bhubaneswar,Odisha,IND
company/quick-serve-financial-services-llp.,Quick Serve Financial Services,quickservefinancial.com,financial services,1-10,Self-Owned,2016.0,Mangalwar Peth,Maharashtra,IND
company/saura-urja,Sauramahi,saurmahi.com,renewables & environment,1-10,Privately Held,2017.0,Pune`,Maharashtra,IND
company/inside-view-technologies-india-private-limited,Inside View Technologies India Private Limited,insideview.com,information technology & services,1-10,,,Hyderabad,Andhra Pradesh,IND
company/savor-experiences,Savor Experiences,savorexperiences.com,food & beverages,1-10,Privately Held,2012.0,Lower Parel,Maharashtra,IND
company/hibilter-it-systems-pvt-ltd,Hibilter IT Systems Pvt Ltd,hibilter.com,information technology & services,51-200,Privately Held,2016.0,Delhi,Delhi,IND
company/algonetix,Algonetix Technologies,algonetix.com,information technology & services,1-10,Partnership,2021.0,New Delhi,Delhi,IND
company/gkvale,G K Vale & Co.,gkvale.com,retail,51-200,Privately Held,1910.0,Fraser Town,Karnataka,IND
company/technology-enabled-business-solution,TEBS TECH,tebstech.com,information technology & services,1-10,Partnership,2018.0,Aarey Milk Colony Goregaon E,Maharashtra,IND
company/payism-global-company-page,Payism Global,payismglobal.com,financial services,201-500,Privately Held,2014.0,Bangalore,Karnataka,IND
